tid,cid,column,value,label
0,1, State-gov, Self-emp-not-incw,1
1,1, State-gov, Private,-1
2,4, 13,A 7,1
3,2, 77516, 338409,-1
4,2, 77516,,1
5,0,39,49,-1
6,14, <=50K, >50Kj,1
7,9, Male, Female,-1
8,1, State-gov,,1
9,9, Male, Male,-1
10,2, 77516,Y 141297,1
11,8, White, White,-1
12,1, State-gov,e trviPa,1
13,7, Not-in-family, Husband,-1
14,11, 0, 0,1
15,8, White, White,-1
16,12, 40,0 4,1
17,3, Bachelors, 11th,-1
18,1, State-gov,B Self-emp-not-inc,1
19,14, <=50K, >50K,-1
20,0,39,,1
21,13, United-States, United-States,-1
22,11, 0, 2042T,1
23,12, 40, 40,-1
24,0,39,,1
25,10, 2174, 0,-1
26,2, 77516, 180211G,1
27,13, United-States, United-States,-1
28,4, 13,,1
29,7, Not-in-family, Not-in-family,-1
30,10, 2174,,1
31,0,39,45,-1
32,12, 40,i 40,1
33,9, Male, Male,-1
34,5, Never-married,,1
35,11, 0, 0,-1
36,11, 0,,1
37,10, 2174, 0,-1
38,1, State-gov,r Self-emp-not-inc,1
39,6, Adm-clerical, Machine-op-inspct,-1
40,12, 40, 40w,1
41,9, Male, Male,-1
42,13, United-States,m United-States,1
43,14, <=50K, <=50K,-1
44,1, State-gov,N Federal-gov,1
45,3, Bachelors, HS-grad,-1
46,3, Bachelors,,1
47,0,39,41,-1
48,14, <=50K,<50 K=,1
49,1, State-gov, Private,-1
50,0,39,n18,1
51,1, State-gov, Private,-1
52,5, Never-married,,1
53,4, 13, 9,-1
54,0,39,43t,1
55,9, Male, Male,-1
56,0,39,35m,1
57,2, 77516, 147372,-1
58,10, 2174, 5013x,1
59,2, 77516, 59496,-1
60,7, Not-in-family,,1
61,0,39,48,-1
62,3, Bachelors,tta roceDo,1
63,11, 0, 0,-1
64,2, 77516,,1
65,2, 77516, 183175,-1
66,8, White,,1
67,1, State-gov, Self-emp-inc,-1
68,8, White,,1
69,3, Bachelors, Some-college,-1
70,9, Male,G Female,1
71,13, United-States, United-States,-1
72,9, Male,,1
73,2, 77516, 124744,-1
74,13, United-States,xeM ico,1
75,12, 40, 40,-1
76,3, Bachelors,t1 0h,1
77,2, 77516, 309634,-1
78,6, Adm-clerical, Farming-fishingU,1
79,11, 0, 0,-1
80,8, White, WhiteV,1
81,11, 0, 0,-1
82,6, Adm-clerical,,1
83,12, 40, 40,-1
84,14, <=50K, <50K=,1
85,7, Not-in-family, Husband,-1
86,13, United-States,,1
87,0,39,30,-1
88,10, 2174, 0m,1
89,8, White, White,-1
90,5, Never-married,t Divorced,1
91,12, 40, 25,-1
92,5, Never-married, Married-civ-spouseF,1
93,4, 13, 13,-1
94,12, 40, 50x,1
95,6, Adm-clerical, Prof-specialty,-1
96,8, White,w White,1
97,8, White, White,-1
98,0,39,A32,1
99,11, 0, 0,-1
100,13, United-States,e-attnUestd Si,1
101,1, State-gov, Self-emp-not-inc,-1
102,3, Bachelors,S Some-college,1
103,3, Bachelors, HS-grad,-1
104,4, 13,C 9,1
105,2, 77516, 304873,-1
106,6, Adm-clerical,lansedcrlH ra-eens,1
107,6, Adm-clerical, Adm-clerical,-1
108,11, 0, 0,1
109,8, White, White,-1
110,0,39,38,1
111,10, 2174, 0,-1
112,8, White, WhiteN,1
113,1, State-gov, Private,-1
114,11, 0, 0F,1
115,1, State-gov, Self-emp-inc,-1
116,10, 2174,Z 0,1
117,5, Never-married, Married-civ-spouse,-1
118,6, Adm-clerical, Craft-repairN,1
119,8, White, White,-1
120,11, 0,,1
121,10, 2174, 0,-1
122,8, White,t Whei,1
123,13, United-States, United-States,-1
124,1, State-gov,G Private,1
125,4, 13, 10,-1
126,2, 77516,4179 31,1
127,2, 77516, 129305,-1
128,5, Never-married,r ecvidDo,1
129,8, White, White,-1
130,0,39,,1
131,5, Never-married, Married-civ-spouse,-1
132,9, Male,Mlae ,1
133,10, 2174, 0,-1
134,14, <=50K,K>05 ,1
135,11, 0, 0,-1
136,9, Male,aFm ele,1
137,1, State-gov, Private,-1
138,3, Bachelors,,1
139,6, Adm-clerical, Craft-repair,-1
140,4, 13, 10s,1
141,9, Male, Male,-1
142,5, Never-married,merr-eiNv dear,1
143,6, Adm-clerical, Tech-support,-1
144,10, 2174,,1
145,13, United-States, United-States,-1
146,8, White,,1
147,14, <=50K, <=50K,-1
148,14, <=50K,5 =K<0,1
149,14, <=50K, <=50K,-1
150,5, Never-married,ireem-rreNd va,1
151,3, Bachelors, Bachelors,-1
152,13, United-States,J United-States,1
153,11, 0, 0,-1
154,1, State-gov, Privater,1
155,12, 40, 40,-1
156,9, Male, Malem,1
157,10, 2174, 0,-1
158,3, Bachelors,A Bachelors,1
159,13, United-States, United-States,-1
160,5, Never-married,B Never-married,1
