tid,cid,column,value,label
0,4,abv,T0.05,1
1,9,state,IN,-1
2,5,ibu,,1
3,4,abv,0.09,-1
4,0,index,,1
5,0,index,6,-1
6,9,state,,1
7,3,style,American Porter,-1
8,3,style,aAmerican Pale Ale (APA),1
9,5,ibu,,-1
10,6,brewery_id,717,1
11,7,brewery-name,18th Street Brewery,-1
12,5,ibu,,1
13,8,city,Gary,-1
14,6,brewery_id,177W,1
15,3,style,Cider,-1
16,5,ibu,,1
17,1,id,2169,-1
18,9,state,wOR,1
19,0,index,20,-1
20,5,ibu,X,1
21,5,ibu,92,-1
22,9,state,AC,1
23,0,index,24,-1
24,5,ibu,42d,1
25,3,style,Fruit / Vegetable Beer,-1
26,2,beer-name,erH e  he 09lWnWt2gmraoh0H( a)toelil,1
27,1,id,800,-1
28,1,id,,1
29,4,abv,0.07,-1
30,6,brewery_id,368q,1
31,1,id,531,-1
32,2,beer-name,HiriCpsso ,1
33,0,index,34,-1
34,8,city,,1
35,1,id,173,-1
36,3,style,,1
37,2,beer-name,Brew Free! or Die IPA,-1
38,6,brewery_id,368Z,1
39,5,ibu,82,-1
40,7,brewery-name,,1
41,6,brewery_id,67,-1
42,6,brewery_id,60,1
43,4,abv,0.045,-1
44,3,style,American Brown Alev,1
45,2,beer-name,Reprise Centennial Red,-1
46,8,city,Saint LouisN,1
47,8,city,Saint Louis,-1
48,8,city,,1
49,8,city,Saint Louis,-1
50,4,abv,5.060,1
51,0,index,52,-1
52,4,abv,0.09s,1
53,9,state,IN,-1
54,4,abv,0.09l,1
55,0,index,56,-1
56,5,ibu,18O,1
57,1,id,972,-1
58,4,abv,0.054g,1
59,9,state,WA,-1
60,7,brewery-name,naSyear7pegCm soBw  ni,1
61,0,index,62,-1
62,2,beer-name,ZColorado Native,1
63,0,index,64,-1
64,2,beer-name,IAacJomPok ,1
65,1,id,515,-1
66,8,city,,1
67,5,ibu,68,-1
68,7,brewery-name,Against The Grain BreweryO,1
69,9,state,KY,-1
70,2,beer-name,lnLlgoBnion ad,1
71,0,index,72,-1
72,3,style,American Pale Ale (APA)P,1
73,8,city,Louisville,-1
74,1,id,2816,1
75,9,state,KY,-1
76,2,beer-name,Bo dylowohS,1
77,5,ibu,68,-1
78,5,ibu,,1
79,9,state,KY,-1
80,7,brewery-name,Against the Grain Breweryw,1
81,5,ibu,20,-1
82,1,id,G1594,1
83,5,ibu,35,-1
84,7,brewery-name,,1
85,0,index,86,-1
86,0,index,j87,1
87,1,id,2401,-1
88,9,state,AKn,1
89,5,ibu,18,-1
90,7,brewery-name,,1
91,3,style,Kölsch,-1
92,6,brewery_id,838,1
93,8,city,Washougal,-1
94,2,beer-name,imesaDna,1
95,5,ibu,43,-1
96,9,state,CAx,1
97,2,beer-name,IPA,-1
98,0,index,99,1
99,9,state,CA,-1
100,6,brewery_id,35l,1
101,6,brewery_id,171,-1
102,0,index,,1
103,5,ibu,,-1
104,9,state,eCA,1
105,1,id,1520,-1
106,5,ibu,4z,1
107,9,state,CA,-1
108,1,id,,1
109,6,brewery_id,171,-1
110,7,brewery-name,Anderson Valley Brewing Companyq,1
111,8,city,Boonville,-1
112,8,city,BoonvilleF,1
113,9,state,CA,-1
114,3,style,,1
115,8,city,Boonville,-1
