tid,cid,column,value,label
0,2,sched_dep_time,,1
1,1,flight,AA-1007-MIA-PHX,-1
2,2,sched_dep_time,,1
3,1,flight,AA-1007-MIA-PHX,-1
4,1,flight,,1
5,4,sched_arr_time,8:05 p.m.,-1
6,2,sched_dep_time,4:55 p.m.I,1
7,1,flight,AA-1007-MIA-PHX,-1
8,3,act_dep_time,O5:08 p.m.,1
9,0,src,flightview,-1
10,4,sched_arr_time,m5.8.p :0,1
11,4,sched_arr_time,8:05 p.m.,-1
12,2,sched_dep_time,w4:55 p.m.,1
13,4,sched_arr_time,8:05 p.m.,-1
14,1,flight,eAA-1007-MIA-PHX,1
15,4,sched_arr_time,8:05 p.m.,-1
16,4,sched_arr_time,,1
17,5,act_arr_time,7:55 p.m.,-1
18,3,act_dep_time,5:08 p.m.z,1
19,0,src,quicktrip,-1
20,3,act_dep_time,,1
21,0,src,aa,-1
22,2,sched_dep_time,:5..9a m6,1
23,2,sched_dep_time,6:59 a.m.,-1
24,4,sched_arr_time,14a:0.3 .m,1
25,0,src,businesstravellogue,-1
26,3,act_dep_time,7:22 a.m.r,1
27,3,act_dep_time,7:22 a.m.,-1
28,3,act_dep_time,7:22 a.m.t,1
29,4,sched_arr_time,10:34 a.m.,-1
30,1,flight,J1-A1K-5IAA6-FM,1
31,1,flight,AA-1165-JFK-MIA,-1
32,0,src,Qflytecomm,1
33,1,flight,AA-1165-JFK-MIA,-1
34,5,act_arr_time,,1
35,4,sched_arr_time,10:34 a.m.,-1
36,0,src,ami,1
37,4,sched_arr_time,10:34 a.m.,-1
38,5,act_arr_time,10:04 a.m.w,1
39,2,sched_dep_time,6:59 a.m.,-1
40,2,sched_dep_time,P6:59 a.m.,1
41,1,flight,AA-1165-JFK-MIA,-1
42,0,src,,1
43,1,flight,AA-1165-JFK-MIA,-1
44,2,sched_dep_time,6:59 a.m.y,1
45,4,sched_arr_time,10:34 a.m.,-1
46,3,act_dep_time,p32m:8. .,1
47,2,sched_dep_time,8:00 p.m.,-1
48,5,act_arr_time,9:53 p.m.Y,1
49,2,sched_dep_time,8:00 p.m.,-1
50,2,sched_dep_time,8:00 p.m.h,1
51,2,sched_dep_time,8:00 p.m.,-1
52,2,sched_dep_time,,1
53,3,act_dep_time,8:23 p.m.,-1
54,3,act_dep_time,8:23 p.m.O,1
55,1,flight,AA-1221-MCO-ORD,-1
56,4,sched_arr_time, .pm9.54:,1
57,3,act_dep_time,8:23 p.m.,-1
58,5,act_arr_time,59: .m3p.,1
59,1,flight,AA-1221-MCO-ORD,-1
60,4,sched_arr_time,E9:45 p.m.,1
61,5,act_arr_time,9:53 p.m.,-1
62,2,sched_dep_time,p.m00.8 :,1
63,5,act_arr_time,9:53 p.m.,-1
64,3,act_dep_time,83 p..2:m,1
65,0,src,orbitz,-1
66,1,flight,OAA-1221-MCO-ORD,1
67,5,act_arr_time,9:53 p.m.,-1
68,5,act_arr_time,9:53 p.m.m,1
69,0,src,travelocity,-1
70,3,act_dep_time,8:23 p.m.f,1
71,4,sched_arr_time,9:45 p.m.,-1
72,4,sched_arr_time,,1
73,2,sched_dep_time,8:00 p.m.,-1
74,0,src,aa,1
75,1,flight,AA-1279-DFW-PHX,-1
76,5,act_arr_time,3:30 p.m.O,1
77,4,sched_arr_time,2:35 p.m.,-1
78,1,flight,,1
79,3,act_dep_time,2:04 p.m.,-1
80,5,act_arr_time,,1
81,0,src,flightaware,-1
82,0,src,,1
83,1,flight,AA-1279-DFW-PHX,-1
84,1,flight,,1
85,5,act_arr_time,3:30 p.m.,-1
86,0,src,Rflylouisville,1
87,5,act_arr_time,3:30 p.m.,-1
88,2,sched_dep_time,s1:00 p.m.,1
89,3,act_dep_time,2:04 p.m.,-1
90,3,act_dep_time,.mp4.0 :2,1
91,2,sched_dep_time,1:00 p.m.,-1
92,1,flight,A7FW9X-HAP-D21-,1
93,2,sched_dep_time,1:00 p.m.,-1
94,3,act_dep_time,x2:04 p.m.,1
95,5,act_arr_time,3:30 p.m.,-1
96,4,sched_arr_time,,1
97,1,flight,AA-1279-DFW-PHX,-1
98,1,flight,-9PW1A7D2-XFAH-,1
99,3,act_dep_time,7:21 a.m.,-1
100,0,src,Lairtravelcenter,1
101,2,sched_dep_time,7:15 a.m.,-1
102,3,act_dep_time,b7:21 a.m.,1
103,3,act_dep_time,7:21 a.m.,-1
104,1,flight,AA-1434-DFW-MCOC,1
105,1,flight,AA-1434-DFW-MCO,-1
106,4,sched_arr_time,n10:35 a.m.,1
107,0,src,flightstats,-1
108,1,flight,4C1-FM3OAWA-4-D,1
109,3,act_dep_time,7:21 a.m.,-1
110,1,flight,aAA-1434-DFW-MCO,1
111,5,act_arr_time,10:36 a.m.,-1
112,2,sched_dep_time,,1
113,4,sched_arr_time,10:35 a.m.,-1
114,5,act_arr_time,,1
115,0,src,ifly,-1
116,1,flight,D3W1-A44C--AMOF,1
117,5,act_arr_time,10:36 a.m.,-1
