tid,cid,column,value,label
0,4,state,ALb,1
1,16,stateavg,AL_SCIP-INF-1,-1
2,14,score,n,1
3,2,address1,1720 UNIVERSITY BLVD,-1
4,10,emergency service,,1
5,7,phone number,2053258100,-1
6,1,hospital name,CALLAHAN EYE FOUNDATION HOSPITALr,1
7,8,hospital type,Acute Care Hospitals,-1
8,4,state,ALD,1
9,7,phone number,2563864556,-1
10,2,address1,m1300 SOUTH MONTGOMERY AVENUE,1
11,14,score,100%,-1
12,4,state,DAL,1
13,15,sample,0 patients,-1
14,16,stateavg,8LAI_AA-M,1
15,0,provider number,10019,-1
16,8,hospital type,,1
17,2,address1,1300 SOUTH MONTGOMERY AVENUE,-1
18,9,hospital owner,,1
19,8,hospital type,Acute Care Hospitals,-1
20,7,phone number,3947783103,1
21,11,condition,Heart Attack,-1
22,16,stateavg,,1
23,5,zip code,36302,-1
24,10,emergency service,eYs,1
25,13,measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,-1
26,15,sample,,1
27,13,measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,-1
28,4,state,ALs,1
29,2,address1,1108 ROSS CLARK CIRCLE,-1
30,10,emergency service,GYes,1
31,5,zip code,36302,-1
32,5,zip code,36302T,1
33,6,county name,HOUSTON,-1
34,10,emergency service,Yesh,1
35,7,phone number,3347938701,-1
36,3,city,DNAHTO,1
37,4,state,AL,-1
38,7,phone number,3347938701M,1
39,9,hospital owner,Government - Hospital District or Authority,-1
40,13,measure name,,1
41,13,measure name,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),-1
42,6,county name,HOUSTONT,1
43,0,provider number,10001,-1
44,1,hospital name,,1
45,15,sample,5 patients,-1
46,8,hospital type,Acute Care HospitalsM,1
47,7,phone number,2565938310,-1
48,5,zip code,35957x,1
49,3,city,BOAZ,-1
50,1,hospital name,uMARSHALL MEDICAL CENTER SOUTH,1
51,2,address1,2505 U S HIGHWAY 431 NORTH,-1
52,6,county name,aMARSHALL,1
53,3,city,BOAZ,-1
54,6,county name,HLLAARSM,1
55,1,hospital name,MARSHALL MEDICAL CENTER SOUTH,-1
56,14,score,97%,1
57,10,emergency service,Yes,-1
58,7,phone number,,1
59,0,provider number,10005,-1
60,14,score,18%,1
61,9,hospital owner,Government - Hospital District or Authority,-1
62,6,county name,SHAARLML,1
63,10,emergency service,Yes,-1
64,7,phone number,2565938310V,1
65,14,score,,-1
66,13,measure name,,1
67,3,city,BOAZ,-1
68,7,phone number,5625019338,1
69,6,county name,LAUDERDALE,-1
70,7,phone number,2567688400W,1
71,4,state,AL,-1
72,2,address1,,1
73,8,hospital type,Acute Care Hospitals,-1
74,10,emergency service,YesI,1
75,14,score,98%,-1
76,3,city,aFLORENCE,1
77,14,score,97%,-1
78,5,zip code,35631c,1
79,14,score,100%,-1
80,1,hospital name,,1
81,3,city,FLORENCE,-1
82,11,condition,unomieanP,1
83,0,provider number,10006,-1
84,8,hospital type,Acute Care HospitalsF,1
85,6,county name,LAUDERDALE,-1
86,15,sample,,1
87,1,hospital name,ELIZA COFFEE MEMORIAL HOSPITAL,-1
88,0,provider number,B10006,1
89,0,provider number,10006,-1
90,1,hospital name,AEZLCFHL TOPFMOEM OR AILIEESAI,1
91,3,city,FLORENCE,-1
92,9,hospital owner,On aretrrtuf nol-htipooVy n-,1
93,0,provider number,10006,-1
94,16,stateavg,AL_AMI-1P,1
95,9,hospital owner,Voluntary non-profit - Private,-1
96,10,emergency service,NoV,1
97,6,county name,COVINGTON,-1
98,0,provider number,,1
99,15,sample,0 patients,-1
100,10,emergency service,nNo,1
101,2,address1,702 N MAIN ST,-1
102,5,zip code,F36467,1
103,7,phone number,3344933541,-1
104,9,hospital owner,,1
105,3,city,OPP,-1
106,9,hospital owner,Voluntary non-profit - Privatem,1
107,2,address1,702 N MAIN ST,-1
108,7,phone number,,1
109,8,hospital type,Acute Care Hospitals,-1
110,15,sample,C63 patients,1
111,12,measure code,SCIP-CARD-2,-1
112,11,condition,ercPnetigrfo onaISclneivu nit,1
113,6,county name,COVINGTON,-1
114,15,sample,,1
115,4,state,AL,-1
116,6,county name,KCOVINGTON,1
117,8,hospital type,Acute Care Hospitals,-1
118,6,county name,,1
119,13,measure name,Heart Attack Patients Given Aspirin at Arrival,-1
120,10,emergency service,Yes,1
121,16,stateavg,AL_AMI-3,-1
122,8,hospital type,,1
123,3,city,LUVERNE,-1
124,8,hospital type,fAcute Care Hospitals,1
125,11,condition,Heart Attack,-1
126,4,state,LA,1
127,0,provider number,10008,-1
128,12,measure code,-3FH,1
129,10,emergency service,Yes,-1
130,8,hospital type,vAcute Care Hospitals,1
131,11,condition,Pneumonia,-1
132,6,county name,lCRENSHAW,1
