tid,cid,column,value,label
0,13,ReviewCount,"976 user,290 critice",1
1,16,Description,A small group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.,-1
2,12,RatingCount,"6124,8",1
3,0,Id,tt0889671,-1
4,16,Description,rAn examination of the widespread fan disenchantment with George Lucas.,1
5,5,Creator,"Leon Uris,Samuel A. Taylor",-1
6,5,Creator,"Vo,ntsemnntric iarEeg LhCann",1
7,14,Genre,"Comedy,Horror,Thriller",-1
8,8,Language,EnglishI,1
9,9,Country,USA,-1
10,3,Release Date,,1
11,2,Year,2009,-1
12,9,Country,USAJ,1
13,10,Duration,115 min,-1
14,0,Id,,1
15,10,Duration,124 min,-1
16,10,Duration,m1n i17,1
17,4,Director,Stephen Sommers,-1
18,0,Id,ott0320691,1
19,10,Duration,106 min,-1
20,6,Actors,"sJSelBlanelonus aeC Sgltee d,ear,vrlsR",1
21,10,Duration,104 min,-1
22,12,RatingCount,"28943,1",1
23,14,Genre,"Drama,Thriller",-1
24,13,ReviewCount,"4ecsu,t7 8ri2c 0ri2",1
25,16,Description,"Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",-1
26,14,Genre,,1
27,2,Year,2010,-1
28,15,Filming Locations,"AooPdSOn  e,l,rantUrg",1
29,11,RatingValue,,-1
30,15,Filming Locations,"Santa Clarita, California, USAc",1
31,6,Actors,"Tom Cruise,Tim Robbins,Kelly McGillis",-1
32,11,RatingValue,z7.0,1
33,11,RatingValue,7.2,-1
34,5,Creator,",nenanrIl IlertotsbeLb onseLa",1
35,16,Description,"Set in Casablanca, Morocco during the early days of World War II: An American expatriate meets a former lover, with unforeseen complications.",-1
36,9,Country,"USA,UKw",1
37,8,Language,English,-1
38,14,Genre,"Crime,Drama,MysteryL",1
39,11,RatingValue,7.3,-1
40,4,Director,,1
41,9,Country,USA,-1
42,16,Description,,1
43,6,Actors,"Steve Wiebe,Billy Mitchell,Mark Alpiger",-1
44,9,Country,,1
45,16,Description,A documentary that captures the greatest world record Tetris players as they prepare for the Classic Tetris World Championship. From the days of Thor Aackerlund and his historic victory at ...,-1
46,7,Cast,"IBryan Armitage,Nathan Barnatt,Chris Connally,Dave Danzara,Walter Day,Paul Dean,Cat DeSpira,Joshua Docherty,Chris Donner,Keith Elliott,Ben Gold,Rachel Green,Zack Green,Kalan Harvest,Steve Hertz",1
47,14,Genre,"Documentary,Fantasy",-1
48,16,Description,"Beginning with Space Invaders in 1978, arcade games began to appear everywhere. By 1982, there were 13,000 dedicated arcade locations across North America. It was the Golden Age of Arcade ...o",1
49,12,RatingCount,332,-1
50,2,Year,1250,1
51,7,Cast,"Lorenza Izzo,Ariel Levy,Aaron Burns,Kirby Bliss Blanton,Magda Apanowicz,Ignacia Allamand,Daryl Sabara,Nicolás Martínez,Sky Ferreira,Eusebio Arenas,Richard Burgi,Matías López,Ramón Llao,Antonieta Pari,John Mark Allan",-1
52,9,Country,AUS,1
53,3,Release Date,19 March 2004 (USA),-1
54,4,Director,,1
55,2,Year,2010,-1
56,7,Cast,"George Clooney,Meryl Streep,Jason Schwartzman,Bill Murray,Wallace Wolodarsky,Eric Chase Anderson,Michael Gambon,Willem Dafoe,Owen Wilson,Jarvis Cocker,Wes Anderson,Karen Duffy,Robin Hurlstone,Hugo Guinness,Helen McCroryD",1
57,16,Description,"After breaking up with her boyfriend, a professional woman gets involved with a man who seems almost too good to be true.",-1
58,8,Language,"Een,risgGklhe",1
59,5,Creator,"Matt Duffer,Ross Duffer",-1
60,10,Duration,t96 min,1
61,7,Cast,"Zach Galligan,Phoebe Cates,John Glover,Robert Prosky,Robert Picardo,Christopher Lee,Haviland Morris,Dick Miller,Jackie Joseph,Gedde Watanabe,Keye Luke,Kathleen Freeman,Don Stanton,Dan Stanton,Shawn Nelson",-1
62,8,Language,hlsniEg,1
63,10,Duration,101 min,-1
64,5,Creator,"co RsnkeheaTBKr,aeeb eb",1
65,4,Director,Greydon Clark,-1
66,10,Duration,,1
67,12,RatingCount,"2,384",-1
68,6,Actors,,1
69,7,Cast,"Bette Davis,Franchot Tone,Margaret Lindsay,Alison Skipworth,John Eldredge,Dick Foran,Walter Walker,Richard Carle,George Irving,Pierre Watkin,Douglas Wood,William B. Davidson",-1
70,15,Filming Locations,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USAq",1
71,16,Description,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.",-1
72,1,Name,Where Love Has Gones,1
73,4,Director,George Archainbaud,-1
74,1,Name,cThe Unknown Man,1
75,16,Description,"To gain fame, a reporter arranges to be suspected of murder.",-1
76,7,Cast,"ra- .e,MlJsw KnGnrsHZP taydoe  klrka,r,vHrGM w mht,e Od,,TlerrBrdDyi  PoiW-rtrnaatyBTdeEu  nlrwoi,lCmoHieBe ,FyimindrysdleHeuarnvncoar eeaayaiJlMe ,aadyisMl,yo,aaolueDL",1
77,9,Country,USA,-1
78,3,Release Date,,1
79,13,ReviewCount,"18 user,6 critic",-1
80,6,Actors,,1
81,11,RatingValue,6.3,-1
82,4,Director,,1
83,6,Actors,"Lesley-Anne Down,Frank Langella,Maurice Ronet",-1
84,8,Language,,1
85,12,RatingCount,"8,857",-1
86,7,Cast,,1
87,16,Description,A director of escapist films goes on the road as a hobo to learn about Life...which gives him a rude awakening.,-1
