tid,cid,column,value,label
0,4,state,CNY,1
1,14,extra-phones,,-1
2,0,id,3,1
3,13,years-in-business,9,-1
4,8,priceRange,s$$,1
5,15,aka,Pig 'n' Whistle on 3rd;Pig & Whistle Restaurant,-1
6,2,streetAddress,nC 1lSat2a0 ,1
7,0,id,8,-1
8,9,categories,rudstr; eB epattIr;i;atrRsrstotfn;hseunLectTn t&haaeaae RSora sefka c;tptwhansuRftnlsSuehrsR utaCCenaOasonarSeias;hsua B kcnus,1
9,1,name,om indian restaurant,-1
10,5,zipCode,10019n,1
11,4,state,NY,-1
12,8,priceRange,z,1
13,14,extra-phones,,-1
14,0,id,H15,1
15,9,categories,Sushi Bars;Family Style Restaurants;Bars;Cocktail Lounges;Japanese Restaurants;Thai Restaurants;Take Out Restaurants;Caterers;Restaurants,-1
16,13,years-in-business,,1
17,6,phone,(212) 982-1907,-1
18,15,aka,nDorlan’s Tavern & Oyster Bar,1
19,12,payment-method,visa;amex;master card;all major credit cards,-1
20,3,city,,1
21,13,years-in-business,,-1
22,6,phone,)7123(86-8240 ,1
23,10,ratingValue,1,-1
24,2,streetAddress,F250 W 50th St,1
25,15,aka,,-1
26,3,city,New Yorkj,1
27,3,city,New York,-1
28,11,neighborhood,IMidtown Manhattan;Turtle Bay;Midtown East,1
29,4,state,NY,-1
30,12,payment-method,kamex;discover;master card;visa;all major credit cards,1
31,2,streetAddress,665 9th Ave,-1
32,14,extra-phones,t,1
33,9,categories,Pizza;Italian Restaurants;Restaurants,-1
34,11,neighborhood,CDowntown Manhattan;Financial District,1
35,15,aka,,-1
36,11,neighborhood,lDowntown Manhattan;West Village,1
37,13,years-in-business,,-1
38,7,website,qhttp://www.newhonwong.com,1
39,0,id,40,-1
40,0,id,14,1
41,3,city,New York,-1
42,6,phone,02 )493-61082(,1
43,4,state,NY,-1
44,14,extra-phones,,1
45,0,id,46,-1
46,8,priceRange,,1
47,15,aka,El Guanaco;El Guanaco Restaurant,-1
48,6,phone,(212) 965-3000e,1
49,3,city,New York,-1
50,1,name,yopparaiX,1
51,11,neighborhood,Two Bridges;Downtown Manhattan,-1
52,4,state,NYA,1
53,11,neighborhood,Midtown East;Midtown Manhattan,-1
54,7,website,n,1
55,11,neighborhood,Rose Hill;Kips Bay;Midtown Manhattan,-1
56,13,years-in-business,x,1
57,11,neighborhood,Sutton Place;Midtown Manhattan;Midtown East,-1
58,0,id,59M,1
59,3,city,New York,-1
60,13,years-in-business,,1
61,13,years-in-business,,-1
62,12,payment-method,a,1
63,15,aka,,-1
64,5,zipCode,10301,1
65,12,payment-method,all major credit cards,-1
66,12,payment-method,,1
67,3,city,New York,-1
68,10,ratingValue,l,1
69,2,streetAddress,18 E Broadway,-1
70,5,zipCode,,1
71,0,id,72,-1
72,10,ratingValue,54.,1
73,2,streetAddress,88 W 3rd St,-1
74,13,years-in-business,,1
75,7,website,,-1
76,6,phone,5(-2502 )12134,1
77,10,ratingValue,5,-1
78,15,aka,KEat-pisode Inc,1
79,10,ratingValue,5,-1
80,9,categories,AFamily Style Restaurants;Take Out Restaurants;Restaurants,1
81,7,website,http://www.oldsichuan.com,-1
82,3,city,Ywrk Neo,1
83,10,ratingValue,,-1
84,10,ratingValue,G3,1
85,3,city,New York,-1
86,0,id,,1
87,5,zipCode,10009,-1
88,6,phone,f(212) 989-2938,1
89,6,phone,(212) 529-0539,-1
90,3,city,YeNkr wo,1
91,6,phone,(212) 400-2118,-1
92,2,streetAddress,95 7th Ave Sn,1
93,7,website,http://bukharany.com,-1
94,14,extra-phones,Fax;(212) 463-7695I,1
95,5,zipCode,10022,-1
96,1,name,,1
97,2,streetAddress,1 W 8th St,-1
98,14,extra-phones,,1
99,2,streetAddress,1143 1st Ave,-1
100,2,streetAddress,,1
101,10,ratingValue,2.5,-1
102,6,phone,e(212) 781-8833,1
103,5,zipCode,10013,-1
104,4,state,NY,1
105,1,name,renaissance restaurants,-1
106,5,zipCode,O10075,1
107,7,website,http://www.tequilachitos.com,-1
108,11,neighborhood,Downtown Manhattan;East VillageV,1
